Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8939243,"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known",7,39,0.002568662319699664,8.641546267451616E-6,8.5551308047771E-4,4,5,3.5516408580764315E-4,9606,Homo sapiens,"6595;1457;26053;6597;6601;2033;57492","","R-HSA-8938217;R-HSA-8878050;R-HSA-8937989;R-HSA-8878056"
R-HSA-8986944,"Transcriptional Regulation by MECP2",10,100,0.006586313640255549,1.7715604743173685E-5,0.0015944044268856317,73,77,0.0054695269214377045,9606,Homo sapiens,"5728;2290;2891;4204;2904;2903;79718;25942;4208","","R-HSA-9022728;R-HSA-9022734;R-HSA-9021953;R-HSA-9021952;R-HSA-9021954;R-HSA-9017988;R-HSA-9022872;R-HSA-9021851;R-HSA-9006490;R-HSA-9022365;R-HSA-9023132;R-HSA-9006992;R-HSA-9022359;R-HSA-9021847;R-HSA-9022870;R-HSA-9006507;R-HSA-9615536;R-HSA-9005995;R-HSA-9005994;R-HSA-9006122;R-HSA-9006508;R-HSA-9022764;R-HSA-9022625;R-HSA-9615801;R-HSA-9005988;R-HSA-9006503;R-HSA-8986937;R-HSA-8986939;R-HSA-9023549;R-HSA-8986940;R-HSA-8986943;R-HSA-9023538;R-HSA-9022770;R-HSA-9615571;R-HSA-9615829;R-HSA-9017921;R-HSA-9021888;R-HSA-9615554;R-HSA-9020504;R-HSA-9022941;R-HSA-9022175;R-HSA-9021919;R-HSA-9022942;R-HSA-9022935;R-HSA-9022934;R-HSA-9023592;R-HSA-9022315;R-HSA-9022314;R-HSA-9022186;R-HSA-9021935;R-HSA-9020513;R-HSA-9017441;R-HSA-9017954;R-HSA-9006050;R-HSA-9018594;R-HSA-9017447;R-HSA-9006585;R-HSA-9021945;R-HSA-9022456;R-HSA-9021944;R-HSA-9021946;R-HSA-9021949;R-HSA-9021948;R-HSA-9006588;R-HSA-9021951;R-HSA-9017983;R-HSA-9021183;R-HSA-9021950;R-HSA-9023345;R-HSA-9023346;R-HSA-9022453;R-HSA-9023348;R-HSA-9023351"
R-HSA-3214842,"HDMs demethylate histones",6,31,0.0020417572284792203,2.525876640768754E-5,0.001999832644131949,8,17,0.0012075578917459867,9606,Homo sapiens,"51780;8242;5253;23135;2670;10765","","R-HSA-3214912;R-HSA-4754187;R-HSA-4724284;R-HSA-5661123;R-HSA-5661121;R-HSA-5661116;R-HSA-5661115;R-HSA-4754181"
R-HSA-112314,"Neurotransmitter receptors and postsynaptic signal transmission",15,232,0.015280247645392873,2.7106358559847443E-5,0.001999832644131949,58,110,0.007813609887768148,9606,Homo sapiens,"23229;8573;2562;1175;3265;2891;2770;2561;373;473;1742;26960;2904;2903;2902","","R-HSA-9609746;R-HSA-9609747;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-392206;R-HSA-9610270;R-HSA-442760;R-HSA-9610653;R-HSA-9610627;R-HSA-9609728;R-HSA-438037;R-HSA-9609738;R-HSA-9609739;R-HSA-9609737;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-432164;R-HSA-432162;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-432172;R-HSA-9618750;R-HSA-170671;R-HSA-170674;R-HSA-445367;R-HSA-9610408;R-HSA-9617326;R-HSA-170686;R-HSA-9610195;R-HSA-975311;R-HSA-9648983;R-HSA-9610327;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-8856398;R-HSA-629595;R-HSA-451283;R-HSA-629596;R-HSA-629599;R-HSA-399711;R-HSA-416985;R-HSA-975340;R-HSA-451311;R-HSA-420975;R-HSA-9668218;R-HSA-442732;R-HSA-9610750;R-HSA-9610879;R-HSA-416639;R-HSA-9611368;R-HSA-9614185;R-HSA-622326"
R-HSA-9675108,"Nervous system development",27,621,0.04090100770598696,2.7775453390721516E-5,0.001999832644131949,75,324,0.023014632760335274,9606,Homo sapiens,"23229;5781;6597;7204;6334;23001;3265;65109;5718;1457;1499;6326;2904;2902;8861;6323;1175;287;288;1742;1808;3786;60;1826;5649","","R-HSA-443783;R-HSA-443778;R-HSA-443779;R-HSA-3928627;R-HSA-445071;R-HSA-3928628;R-HSA-445079;R-HSA-445076;R-HSA-445077;R-HSA-3928623;R-HSA-451347;R-HSA-374675;R-HSA-451345;R-HSA-9615626;R-HSA-451366;R-HSA-3928602;R-HSA-3928607;R-HSA-418850;R-HSA-4093339;R-HSA-4093336;R-HSA-445089;R-HSA-3928604;R-HSA-3928595;R-HSA-392749;R-HSA-392748;R-HSA-418863;R-HSA-392751;R-HSA-418858;R-HSA-374696;R-HSA-4093331;R-HSA-3928597;R-HSA-418856;R-HSA-555065;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-392752;R-HSA-418865;R-HSA-3928578;R-HSA-376126;R-HSA-3928583;R-HSA-418874;R-HSA-376123;R-HSA-376122;R-HSA-8855237;R-HSA-9613648;R-HSA-376134;R-HSA-8854466;R-HSA-8855232;R-HSA-399951;R-HSA-399947;R-HSA-399944;R-HSA-9614787;R-HSA-8855508;R-HSA-9614790;R-HSA-9014610;R-HSA-8855259;R-HSA-9613644;R-HSA-419033;R-HSA-9010539;R-HSA-9010541;R-HSA-437230;R-HSA-373736;R-HSA-9618559;R-HSA-373739;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-392054;R-HSA-3928654;R-HSA-9014652;R-HSA-9011313;R-HSA-3928642;R-HSA-3928646;R-HSA-3928645"
R-HSA-9022699,"MECP2 regulates neuronal receptors and channels",6,32,0.0021076203648817756,3.0104241095951778E-5,0.002047088394524721,26,26,0.0018468532461997443,9606,Homo sapiens,"2891;4204;2904;2903;25942","","R-HSA-9022728;R-HSA-9022734;R-HSA-9017921;R-HSA-9021954;R-HSA-9020504;R-HSA-9006490;R-HSA-9022365;R-HSA-9022175;R-HSA-9022359;R-HSA-9006507;R-HSA-9005994;R-HSA-9022186;R-HSA-9020513;R-HSA-9017954;R-HSA-9005988;R-HSA-9006585;R-HSA-9021946;R-HSA-9023549;R-HSA-9021948;R-HSA-8986940;R-HSA-9006588;R-HSA-9021951;R-HSA-8986943;R-HSA-9023345;R-HSA-9023346;R-HSA-9023538"
R-HSA-5663202,"Diseases of signal transduction by growth factor receptors and second messengers",23,498,0.032799841928472635,4.549997586800192E-5,0.0029119984555521228,126,478,0.03395368660321069,9606,Homo sapiens,"5781;3265;2033;5728;5718;1788;673;1995;1499;53335;1387;2475;4763;1808;7249;60;4204;6934;79718;5528","","R-HSA-9656211;R-HSA-2023455;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-2023451;R-HSA-9656213;R-HSA-9656212;R-HSA-4839746;R-HSA-5339713;R-HSA-9665408;R-HSA-9701810;R-HSA-4396393;R-HSA-4396392;R-HSA-2400009;R-HSA-4396402;R-HSA-4396401;R-HSA-9665700;R-HSA-2023462;R-HSA-9665707;R-HSA-2023460;R-HSA-2023456;R-HSA-2243938;R-HSA-9698007;R-HSA-6803234;R-HSA-6803233;R-HSA-5654544;R-HSA-9698005;R-HSA-5654545;R-HSA-5655326;R-HSA-9698008;R-HSA-9664991;R-HSA-9698013;R-HSA-6803240;R-HSA-9665009;R-HSA-3645780;R-HSA-5655347;R-HSA-2317387;R-HSA-8936676;R-HSA-1982066;R-HSA-1982065;R-HSA-9672163;R-HSA-9698016;R-HSA-5334052;R-HSA-9698021;R-HSA-6803230;R-HSA-9672170;R-HSA-9698026;R-HSA-6803227;R-HSA-3656523;R-HSA-9698029;R-HSA-4839734;R-HSA-6802919;R-HSA-6802918;R-HSA-6802916;R-HSA-6802915;R-HSA-6802914;R-HSA-2220964;R-HSA-9703441;R-HSA-6802912;R-HSA-2220966;R-HSA-6802927;R-HSA-6802926;R-HSA-3656382;R-HSA-5655263;R-HSA-6802925;R-HSA-2220971;R-HSA-6802924;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-2220979;R-HSA-6802932;R-HSA-8936731;R-HSA-2220981;R-HSA-6802930;R-HSA-2220982;R-HSA-6802943;R-HSA-2220985;R-HSA-6802942;R-HSA-6802941;R-HSA-4839635;R-HSA-4839634;R-HSA-9701903;R-HSA-6802938;R-HSA-6802937;R-HSA-5655240;R-HSA-4839638;R-HSA-5655241;R-HSA-4791278;R-HSA-5655290;R-HSA-5655269;R-HSA-5655266;R-HSA-4827388;R-HSA-9700131;R-HSA-9670436;R-HSA-6802911;R-HSA-5655278;R-HSA-6802910;R-HSA-6802908;R-HSA-5655277;R-HSA-2220957;R-HSA-9700181;R-HSA-9651280;R-HSA-9700179;R-HSA-8853325;R-HSA-2399982;R-HSA-8853322;R-HSA-1225951;R-HSA-5387392;R-HSA-1839100;R-HSA-9634418;R-HSA-1839098;R-HSA-5637808;R-HSA-9660538;R-HSA-1839094;R-HSA-9660536;R-HSA-9665404;R-HSA-6802837;R-HSA-6802834;R-HSA-1225957;R-HSA-3304394;R-HSA-5637806;R-HSA-9695853"
R-HSA-422475,"Axon guidance",25,585,0.03852993479549496,7.292248745827123E-5,0.004375349247496274,69,298,0.02116777951413553,9606,Homo sapiens,"8861;5781;7204;6334;6323;23001;3265;1175;65109;287;5718;288;1457;1742;1499;1808;6326;3786;60;1826;2904;5649;2902","","R-HSA-443783;R-HSA-443778;R-HSA-443779;R-HSA-3928627;R-HSA-445071;R-HSA-3928628;R-HSA-445079;R-HSA-445076;R-HSA-445077;R-HSA-3928623;R-HSA-451347;R-HSA-374675;R-HSA-451345;R-HSA-451366;R-HSA-3928602;R-HSA-3928607;R-HSA-418850;R-HSA-4093339;R-HSA-4093336;R-HSA-445089;R-HSA-3928604;R-HSA-3928595;R-HSA-392749;R-HSA-392748;R-HSA-418863;R-HSA-392751;R-HSA-418858;R-HSA-374696;R-HSA-4093331;R-HSA-3928597;R-HSA-418856;R-HSA-555065;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-392752;R-HSA-418865;R-HSA-3928578;R-HSA-376126;R-HSA-3928583;R-HSA-418874;R-HSA-376123;R-HSA-376122;R-HSA-8855237;R-HSA-376134;R-HSA-8854466;R-HSA-8855232;R-HSA-399951;R-HSA-399947;R-HSA-399944;R-HSA-8855508;R-HSA-9014610;R-HSA-8855259;R-HSA-419033;R-HSA-9010539;R-HSA-9010541;R-HSA-437230;R-HSA-373736;R-HSA-373739;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-392054;R-HSA-3928654;R-HSA-9014652;R-HSA-9011313;R-HSA-3928642;R-HSA-3928646;R-HSA-3928645"
R-HSA-9022538,"Loss of MECP2 binding ability to 5mC-DNA",3,5,3.2931568201277747E-4,1.1328193667470288E-4,0.006457070390458064,2,2,1.4206563432305724E-4,9606,Homo sapiens,"4204;25942","","R-HSA-9022465;R-HSA-9023461"
R-HSA-1266738,"Developmental Biology",42,1279,0.08423895145886848,1.2343107503176576E-4,0.006665278051715351,142,573,0.040701804233555905,9606,Homo sapiens,"23229;5781;4297;6597;7204;6334;23001;3265;2033;65109;23389;5718;1457;27086;1499;8648;6326;2904;79718;2902;4208;6925;8861;6323;1175;287;288;1742;1387;1808;9969;3786;60;1826;10664;7528;5649;58508","","R-HSA-5617492;R-HSA-452353;R-HSA-3928627;R-HSA-1183003;R-HSA-3928628;R-HSA-9634433;R-HSA-3928623;R-HSA-451347;R-HSA-451345;R-HSA-5617484;R-HSA-5617486;R-HSA-5617483;R-HSA-451366;R-HSA-3928602;R-HSA-3928607;R-HSA-418850;R-HSA-3928604;R-HSA-3928595;R-HSA-392749;R-HSA-392748;R-HSA-418863;R-HSA-392751;R-HSA-418858;R-HSA-3928597;R-HSA-452392;R-HSA-418856;R-HSA-376117;R-HSA-555065;R-HSA-1112609;R-HSA-376119;R-HSA-3928584;R-HSA-3928591;R-HSA-392752;R-HSA-418865;R-HSA-3928578;R-HSA-9617064;R-HSA-376126;R-HSA-376121;R-HSA-5682794;R-HSA-3928583;R-HSA-418874;R-HSA-376123;R-HSA-376122;R-HSA-1183058;R-HSA-5617431;R-HSA-8855237;R-HSA-376134;R-HSA-8854466;R-HSA-5621010;R-HSA-8855232;R-HSA-6810159;R-HSA-399951;R-HSA-6810158;R-HSA-399947;R-HSA-399944;R-HSA-560472;R-HSA-560473;R-HSA-9614787;R-HSA-8855508;R-HSA-9614790;R-HSA-6810161;R-HSA-5617676;R-HSA-8855259;R-HSA-5617672;R-HSA-5621002;R-HSA-375140;R-HSA-560491;R-HSA-560493;R-HSA-8865505;R-HSA-5617471;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-392054;R-HSA-3928654;R-HSA-560510;R-HSA-381309;R-HSA-3928642;R-HSA-5617452;R-HSA-560498;R-HSA-5617454;R-HSA-6810139;R-HSA-480378;R-HSA-3928646;R-HSA-3928645;R-HSA-5617877;R-HSA-9756948;R-HSA-443783;R-HSA-9756439;R-HSA-443778;R-HSA-443779;R-HSA-5617874;R-HSA-445071;R-HSA-5617887;R-HSA-560517;R-HSA-445079;R-HSA-1980047;R-HSA-445076;R-HSA-445077;R-HSA-5617862;R-HSA-374675;R-HSA-5617859;R-HSA-9615626;R-HSA-5693644;R-HSA-5617867;R-HSA-5617866;R-HSA-9756724;R-HSA-4093339;R-HSA-4093336;R-HSA-445089;R-HSA-5617661;R-HSA-374696;R-HSA-4093331;R-HSA-448951;R-HSA-9758501;R-HSA-4093327;R-HSA-448948;R-HSA-449200;R-HSA-448958;R-HSA-448957;R-HSA-5617641;R-HSA-5617896;R-HSA-448955;R-HSA-9613648;R-HSA-448962;R-HSA-448963;R-HSA-480204;R-HSA-9754191;R-HSA-9014610;R-HSA-9613644;R-HSA-419033;R-HSA-452838;R-HSA-9010539;R-HSA-9754480;R-HSA-9010541;R-HSA-437230;R-HSA-373736;R-HSA-9618559;R-HSA-452331;R-HSA-373739;R-HSA-9014652;R-HSA-9011313"
