Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6794361,"Neurexins and neuroligins",12,60,0.003951788184153329,1.9035922878352096E-4,0.031028554291713917,16,19,0.001349623526069044,9606,Homo sapiens,"64130;321;9228;1740;58512;9456;22829;22871;9229;2915;6804;50944","","R-HSA-6794338;R-HSA-6794336;R-HSA-6797568;R-HSA-6794351;R-HSA-6794349;R-HSA-6794347;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-6794357;R-HSA-6794356;R-HSA-6794355;R-HSA-6794354;R-HSA-6797554;R-HSA-6794353;R-HSA-6794352"
R-HSA-9675108,"Nervous system development",57,621,0.04090100770598696,2.3740995728793735E-4,0.03513667367861473,183,324,0.023014632760335274,9606,Homo sapiens,"6197;6196;4650;5062;26470;284217;5578;1739;1977;3912;9037;3690;5595;23332;2041;1501;27255;6711;5788;4897;9901;8218;1746;5364;6134;6453;6335;7225;116986;2055;6092;491;26019;4628;2444;2048;1630;776;1793;8828;51107;6329;4627;6383;91584;8128;1809;2260;1524;585;1523;783;8912;8913;3785;55558;8911;4756","","R-HSA-525833;R-HSA-593672;R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-419087;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-593690;R-HSA-3928616;R-HSA-3928623;R-HSA-451345;R-HSA-3928610;R-HSA-3928608;R-HSA-622357;R-HSA-593685;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-451366;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-400677;R-HSA-418850;R-HSA-3928607;R-HSA-416546;R-HSA-109860;R-HSA-3928604;R-HSA-3928595;R-HSA-418863;R-HSA-3928594;R-HSA-416559;R-HSA-392751;R-HSA-3928592;R-HSA-418858;R-HSA-400682;R-HSA-418859;R-HSA-3928598;R-HSA-418856;R-HSA-3928597;R-HSA-447030;R-HSA-422454;R-HSA-418868;R-HSA-3928584;R-HSA-418866;R-HSA-3928591;R-HSA-416562;R-HSA-418865;R-HSA-3928588;R-HSA-399934;R-HSA-419646;R-HSA-3928578;R-HSA-399935;R-HSA-3928577;R-HSA-399933;R-HSA-418874;R-HSA-3928583;R-HSA-399930;R-HSA-399931;R-HSA-418872;R-HSA-399928;R-HSA-622390;R-HSA-3928580;R-HSA-9619666;R-HSA-399942;R-HSA-8854981;R-HSA-376134;R-HSA-399941;R-HSA-8855747;R-HSA-399939;R-HSA-9619668;R-HSA-399951;R-HSA-416588;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-8985799;R-HSA-9010648;R-HSA-428885;R-HSA-8855508;R-HSA-416594;R-HSA-376145;R-HSA-399952;R-HSA-9010641;R-HSA-9010643;R-HSA-9010898;R-HSA-9010645;R-HSA-8985812;R-HSA-9010646;R-HSA-8853734;R-HSA-198756;R-HSA-375149;R-HSA-3928657;R-HSA-3928656;R-HSA-375144;R-HSA-8853737;R-HSA-3928660;R-HSA-3928651;R-HSA-9010681;R-HSA-392053;R-HSA-3928648;R-HSA-8985594;R-HSA-392054;R-HSA-3928654;R-HSA-392051;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-419197;R-HSA-8853755;R-HSA-3928646;R-HSA-8853753;R-HSA-3928645;R-HSA-8985591;R-HSA-3928644;R-HSA-443782;R-HSA-374663;R-HSA-443778;R-HSA-8853762;R-HSA-8853774;R-HSA-8855564;R-HSA-374665;R-HSA-445067;R-HSA-374667;R-HSA-9011224;R-HSA-9014812;R-HSA-374686;R-HSA-9011241;R-HSA-4093342;R-HSA-374692;R-HSA-374689;R-HSA-4093339;R-HSA-8853793;R-HSA-4093336;R-HSA-8853792;R-HSA-374701;R-HSA-4093332;R-HSA-4093330;R-HSA-374696;R-HSA-4093331;R-HSA-8853801;R-HSA-4093329;R-HSA-443817;R-HSA-4093327;R-HSA-391868;R-HSA-391871;R-HSA-9014834;R-HSA-8871227;R-HSA-416698;R-HSA-391865;R-HSA-391866;R-HSA-8855617;R-HSA-373711;R-HSA-549060;R-HSA-373707;R-HSA-373716;R-HSA-9010523;R-HSA-373713;R-HSA-416723;R-HSA-373715;R-HSA-428510;R-HSA-9014610;R-HSA-373720;R-HSA-419033;R-HSA-373730;R-HSA-437230;R-HSA-8855915;R-HSA-373739;R-HSA-373750;R-HSA-428533;R-HSA-8854899;R-HSA-428531;R-HSA-9014652;R-HSA-8854897;R-HSA-373746;R-HSA-8854908;R-HSA-199935;R-HSA-8854905"
R-HSA-388479,"Vasopressin-like receptors",4,6,3.9517881841533294E-4,4.0192246515624586E-4,0.054661455261249436,5,7,4.972297201307004E-4,9606,Homo sapiens,"5020;5021;552;553","","R-HSA-9667619;R-HSA-388468;R-HSA-9667569;R-HSA-388503;R-HSA-9667456"
R-HSA-9013408,"RHOG GTPase cycle",13,78,0.005137324639399328,5.833655867850673E-4,0.07292069834813342,4,6,4.2619690296917176E-4,9606,Homo sapiens,"6453;9732;9743;394;57580;5062;23191;27044;23592;1793;4983;4698;55914","","R-HSA-9014449;R-HSA-9014433;R-HSA-9014467;R-HSA-9014434"
R-HSA-8948700,"Competing endogenous RNAs (ceRNAs) regulate PTEN translation",6,19,0.0012513995916485544,8.013206408673534E-4,0.092953194340613,11,11,7.813609887768149E-4,9606,Homo sapiens,"192669;23112;26523;27161;192670;57690","","R-HSA-8948536;R-HSA-8948602;R-HSA-8948651;R-HSA-8948524;R-HSA-8948621;R-HSA-8948623;R-HSA-8948641;R-HSA-8948594;R-HSA-8948612;R-HSA-8948582;R-HSA-8948583"
R-HSA-451308,"Activation of Ca-permeable Kainate Receptor",5,13,8.562207732332214E-4,9.201854268340304E-4,0.10030021152490931,2,2,1.4206563432305724E-4,9606,Homo sapiens,"2900;2899;2898;1739;2901","","R-HSA-451283;R-HSA-451311"
R-HSA-212676,"Dopamine Neurotransmitter Release Cycle",7,28,0.0018441678192715537,0.0011644208290551017,0.11877092456362037,4,5,3.5516408580764315E-4,9606,Homo sapiens,"9256;64130;1012;8500;6854;6616;6804","","R-HSA-380869;R-HSA-5336443;R-HSA-380574;R-HSA-372542"
R-HSA-451306,"Ionotropic activity of kainate receptors",5,14,9.220839096357768E-4,0.0012736461839100155,0.12227003365536149,4,4,2.841312686461145E-4,9606,Homo sapiens,"2900;2899;2898;1739;2901","","R-HSA-451283;R-HSA-451310;R-HSA-451311;R-HSA-451309"
R-HSA-9662360,"Sensory processing of sound by inner hair cells of the cochlea",12,76,0.005005598366594218,0.0014645702057166643,0.1318113185144998,6,7,4.972297201307004E-4,9606,Homo sapiens,"563;783;10518;776;6711;65217;6616;491;3778;6804;4627;1009","","R-HSA-9662114;R-HSA-9659554;R-HSA-9667761;R-HSA-9662096;R-HSA-9659380;R-HSA-9659515"
R-HSA-194306,"Neurophilin interactions with VEGF and VEGFR",3,4,2.6345254561022194E-4,0.0015737943235191176,0.13199088783697732,2,2,1.4206563432305724E-4,9606,Homo sapiens,"8828;1813;1812","","R-HSA-195408;R-HSA-195418"
R-HSA-9768759,"Regulation of NPAS4 gene expression",6,22,0.0014489890008562208,0.0016792980113878864,0.13199088783697732,2,11,7.813609887768149E-4,9606,Homo sapiens,"192669;23112;26523;27161;192670;57690","","R-HSA-9768788;R-HSA-9768782"
R-HSA-397014,"Muscle contraction",25,232,0.015280247645392873,0.0017823005816437476,0.13199088783697732,29,53,0.003764739309561017,9606,Homo sapiens,"8850;6335;491;5062;552;553;476;478;3751;3752;815;6329;5350;7273;2977;783;585;3708;301;8912;8913;10142;747;8911;10089;1747","","R-HSA-427910;R-HSA-390597;R-HSA-418309;R-HSA-390598;R-HSA-390593;R-HSA-390595;R-HSA-5577234;R-HSA-2855020;R-HSA-9700701;R-HSA-392143;R-HSA-5578910;R-HSA-5617182;R-HSA-139854;R-HSA-5578777;R-HSA-5577050;R-HSA-936897;R-HSA-169683;R-HSA-5226904;R-HSA-5263628;R-HSA-9614031;R-HSA-392152;R-HSA-445797;R-HSA-5577213;R-HSA-9621179;R-HSA-5576895;R-HSA-6784598;R-HSA-9684068;R-HSA-9620456;R-HSA-2032800"
R-HSA-426486,"Small interfering RNA (siRNA) biogenesis",4,9,5.927682276229994E-4,0.0017836606464456395,0.13199088783697732,5,5,3.5516408580764315E-4,9606,Homo sapiens,"192669;26523;27161;192670","","R-HSA-2106625;R-HSA-9023912;R-HSA-426464;R-HSA-2106615;R-HSA-9023909"
R-HSA-5576891,"Cardiac conduction",18,147,0.009681881051175657,0.0020097316056323367,0.13333815686188377,18,33,0.002344082966330445,9606,Homo sapiens,"5350;8850;6335;491;585;552;783;553;476;3708;478;3751;3752;10142;747;10089;815;6329;1747","","R-HSA-427910;R-HSA-418309;R-HSA-5577234;R-HSA-2855020;R-HSA-5577213;R-HSA-5576895;R-HSA-5578910;R-HSA-5617182;R-HSA-139854;R-HSA-5578777;R-HSA-5577050;R-HSA-936897;R-HSA-6784598;R-HSA-169683;R-HSA-9684068;R-HSA-5226904;R-HSA-9614031;R-HSA-2032800"
R-HSA-181429,"Serotonin Neurotransmitter Release Cycle",6,23,0.0015148521372587763,0.002093027976096451,0.13333815686188377,3,4,2.841312686461145E-4,9606,Homo sapiens,"9256;1012;8500;6854;6616;6804","","R-HSA-380901;R-HSA-380905;R-HSA-380586"
R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",5,16,0.0010538101824408878,0.002267757649628055,0.13333815686188377,4,4,2.841312686461145E-4,9606,Homo sapiens,"6383;2239;10082;2131;57705","","R-HSA-9036283;R-HSA-3656261;R-HSA-9036285;R-HSA-3656257"
R-HSA-3656237,"Defective EXT2 causes exostoses 2",5,16,0.0010538101824408878,0.002267757649628055,0.13333815686188377,4,4,2.841312686461145E-4,9606,Homo sapiens,"6383;2239;10082;2131;57705","","R-HSA-9036289;R-HSA-3656254;R-HSA-9036290;R-HSA-3656267"
R-HSA-375165,"NCAM signaling for neurite out-growth",11,70,0.004610419548178884,0.0023495044103956086,0.13333815686188377,14,23,0.0016337547947151583,9606,Homo sapiens,"1523;783;5595;8128;776;8912;6711;8913;8911;2260;1746","","R-HSA-525833;R-HSA-198756;R-HSA-375149;R-HSA-375144;R-HSA-392053;R-HSA-422454;R-HSA-392054;R-HSA-392051;R-HSA-391868;R-HSA-391871;R-HSA-199935;R-HSA-391865;R-HSA-419033;R-HSA-391866"
R-HSA-9634815,"Transcriptional Regulation by NPAS4",10,60,0.003951788184153329,0.0024094821718279036,0.13333815686188377,34,47,0.0033385424065918456,9606,Homo sapiens,"5595;192669;7514;23112;26523;27161;192670;9915;1977;57690","","R-HSA-9768788;R-HSA-9769044;R-HSA-9634897;R-HSA-9769302;R-HSA-9769042;R-HSA-9768925;R-HSA-9769177;R-HSA-9770072;R-HSA-9769307;R-HSA-9769115;R-HSA-9634886;R-HSA-9634884;R-HSA-9769165;R-HSA-9768782;R-HSA-9644879;R-HSA-9769419;R-HSA-9638156;R-HSA-9769418;R-HSA-9769141;R-HSA-9768950;R-HSA-9769014;R-HSA-9768945;R-HSA-9634934;R-HSA-9769011;R-HSA-9634943;R-HSA-9769316;R-HSA-9769249;R-HSA-9634916;R-HSA-9644900;R-HSA-9768930;R-HSA-9768937;R-HSA-9634861;R-HSA-9768939;R-HSA-9769323"
R-HSA-380270,"Recruitment of mitotic centrosome proteins and complexes",12,81,0.005334914048606995,0.00245588218929349,0.13333815686188377,3,3,2.1309845148458588E-4,9606,Homo sapiens,"114791;9662;1454;7531;23332;10142;22981;5108;2171;80184;8481;95681","","R-HSA-380311;R-HSA-380455;R-HSA-380283"
R-HSA-380284,"Loss of proteins required for interphase microtubule organization from the centrosome",11,71,0.00467628268458144,0.0026144736639585053,0.13333815686188377,3,3,2.1309845148458588E-4,9606,Homo sapiens,"9662;1454;7531;23332;10142;22981;5108;80184;2171;8481;95681","","R-HSA-380294;R-HSA-380272;R-HSA-380303"
R-HSA-380259,"Loss of Nlp from mitotic centrosomes",11,71,0.00467628268458144,0.0026144736639585053,0.13333815686188377,2,2,1.4206563432305724E-4,9606,Homo sapiens,"9662;1454;7531;23332;10142;22981;5108;80184;2171;8481;95681","","R-HSA-380272;R-HSA-380303"
R-HSA-373755,"Semaphorin interactions",11,71,0.00467628268458144,0.0026144736639585053,0.13333815686188377,28,41,0.0029123455036226737,9606,Homo sapiens,"4628;9037;91584;5364;1809;2055;5788;55558;1977;5062;4627","","R-HSA-399942;R-HSA-399941;R-HSA-399939;R-HSA-419087;R-HSA-399951;R-HSA-416588;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-416594;R-HSA-416723;R-HSA-399952;R-HSA-400677;R-HSA-416546;R-HSA-416559;R-HSA-400682;R-HSA-373750;R-HSA-416562;R-HSA-373746;R-HSA-399934;R-HSA-419646;R-HSA-399935;R-HSA-419197;R-HSA-399933;R-HSA-399930;R-HSA-416698;R-HSA-399931;R-HSA-399928"
R-HSA-417973,"Adenosine P1 receptors",3,5,3.2931568201277747E-4,0.0029495579236940017,0.1430914027052541,2,2,1.4206563432305724E-4,9606,Homo sapiens,"135;18;140","","R-HSA-418925;R-HSA-418904"
R-HSA-380287,"Centrosome maturation",12,83,0.005466640321412105,0.002981070889692794,0.1430914027052541,6,6,4.2619690296917176E-4,9606,Homo sapiens,"114791;9662;1454;7531;23332;10142;22981;5108;2171;80184;8481;95681","","R-HSA-380311;R-HSA-380455;R-HSA-380294;R-HSA-380272;R-HSA-380303;R-HSA-380283"
R-HSA-8854518,"AURKA Activation by TPX2",11,74,0.004873872093789106,0.003557093121733579,0.16362628359974463,2,2,1.4206563432305724E-4,9606,Homo sapiens,"9662;1454;7531;23332;10142;22981;5108;80184;2171;8481;95681","","R-HSA-8853405;R-HSA-8853419"
R-HSA-1296072,"Voltage gated Potassium channels",8,44,0.0028979780017124417,0.0038060635836925094,0.17127286126616292,1,1,7.103281716152862E-5,9606,Homo sapiens,"563;552;3790;553;3751;547;3785;3752;3746","","R-HSA-1296127"
